宝贝关键词_2013-11-18全部数据,
关键词,平均搜索排名,展现量,点击量,点击率,入店次数,访客数,入店访问深度,跳失率,成交用户数,支付宝成交件数,支付宝成交金额,成交转化率,
茶叶,538,34,1,0.0294,1,1,1,1,0,0,0,0
铁观音茶叶,291,29,2,0.069,2,2,1.5,0.5,0,0,0,0
茶叶铁观音,280,21,2,0.0952,2,2,1,1,0,0,0,0
茶,182,22,2,0.0909,2,2,1,1,0,0,0,0
安溪铁观音,152,111,2,0.018,2,2,1,1,0,0,0,0
茶叶铁观音 特级,151,2,1,0.5,1,1,1,0,0,0,0,0
铁观音浓香,149,34,1,0.0294,1,1,1,1,0,0,0,0
秋茶铁观音王,106,3,2,0.6667,2,1,1,1,0,0,0,0
茶叶浓香型正品,82,1,1,1,1,1,2,0,0,0,0,0
正品安溪铁观音浓香型茶,62,3,1,0.3333,1,1,1,1,0,0,0,0
铁观音秋茶,55,76,2,0.0263,2,2,1,0.5,0,0,0,0
茶叶茶叶,52,1,1,1,1,1,1,1,0,0,0,0
秋茶 铁观音 直销,44,3,1,0.3333,1,1,1,1,0,0,0,0
铁观音茶,42,69,3,0.0435,3,3,1,0.6667,0,0,0,0
特级铁观音王浓香型,30,5,1,0.2,1,1,1,1,0,0,0,0
铁观音,29,7224,230,0.0318,228,209,1.11,0.693,11,12,802.6,0.0526
观音王 浓香 特级,28,10,1,0.1,1,1,1,1,0,0,0,0
铁观音茶农,28,12,1,0.0833,1,1,1,1,0,0,0,0
观音王,26,147,1,0.0068,1,1,1,1,0,0,0,0
正宗安溪铁观音,24,82,2,0.0244,2,2,1.5,0,0,0,0,0
铁观音王特级秋茶,24,63,1,0.0159,1,1,3,0,0,0,0,0
浓香型铁观音,16,71,1,0.0141,1,1,1,0,0,0,0,0
铁观音JD-228,14,1,1,1,1,1,1,1,0,0,0,0
秋茶铁观音茶农直销,13,39,10,0.2564,10,3,1,0.8,0,0,0,0
安溪铁观音茶农直销,12,106,2,0.0189,1,1,1,0,0,0,0,0
正宗安溪铁观音特级正品,8,5,1,0.2,1,1,1,1,0,0,0,0
安溪铁观音茶农直销 正宗,7,2,1,0.5,1,1,1,1,0,0,0,0
铁观音茶农直销,6,21,1,0.0476,1,1,1,1,0,0,0,0
茶农直销铁观音,5,8,1,0.125,1,1,1,1,0,0,0,0